,id,site,job_url_hyper,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
0,gd-1009622784324,glassdoor,"<a href=""https://www.glassdoor.co.in/job-listing/j?jl=1009622784324"">https://www.glassdoor.co.in/job-listing/j?jl=1009622784324</a>",,QA Engineer Automated 2,GlobeSync Tech,,2025-02-03,full-time,direct_data,yearly,80000.0,110000.0,USD,True,,,organic,,"**Please apply if you reside in Texas** 

**Minimum Requirements**

Required 7 years: Testing complex Web Applications

Required 7 years: Testing all phases of Software Development LIfe Cycle

Required 6 years: Testing automation experience with Selenium and TesING

Required 4 years: Experience in API testing with REST-assured based frameworks

Required 3 years: Database/SQL Language

Required 3 years: Experience with Java Programming Language

Required 2 years: Test automation experience using open source technologies and/or in-house frameworks

Required 2 years: Experience in API testing (SOAP and REST).

Job Type: Full-time

Pay: $80,000.00 - $110,000.00 per year

Schedule:

* 8 hour shift

Work Location: Remote",,,,,,,,
1,gd-1009622718872,glassdoor,"<a href=""https://www.glassdoor.co.in/job-listing/j?jl=1009622718872"">https://www.glassdoor.co.in/job-listing/j?jl=1009622718872</a>",,DevOps Engineer,CRATE & BARREL,"Northbrook, IL",2025-02-03,full-time,direct_data,yearly,80000.0,100000.0,USD,False,,,organic,,"We inspire purpose-filled living that brings joy to the modern home. With a team of more than 8,000 associates spanning 130 store and distribution locations across the U.S. and Canada, we achieve together, drive results and innovate to inspire. Drawn together by a shared passion for our customers and a spirit of fun, we deliver high-quality home furnishings that are expertly designed, responsibly sourced and bring beauty and function to people’s homes. From the day we opened our first store in Chicago in 1962 to the digital innovations that engage millions of customers today, our iconic brand is over 60 years in the making—and our story is still unfolding.  

We’re here for it. We think you should be too. We’re looking for a driven professional with an inclusive mindset to join our team as a **DevsOps Engineer****.**  

A DevOps Engineer will collaborate to manage infrastructure projects and processes. They will be part of a team supporting production, monitoring, and operations for our retail websites. They should have strong intellectual curiosity to analyze and interpret the data to improve website performance.  

This role is an **Individual Contributor** position which can be worked fully **remote**. **A day in the life as a DevOps Engineer…**  

* Analyze applicable key performance indicators (KPIs) to help optimize application performance.
* Provide governance over access to production data and database in order to safeguard customer and other sensitive data.
* Oversee software deployments for web development, ensuring deployments meet standards required for implementation: unit testing, automated unit testing, regression testing and code reviews.
* Maintain website security optimizations to our Web Application Firewall (WAF) and Bot detection.
* Build, manage, maintain website infrastructure in Amazon Web Services (AWS)
* Monitor application performance using real user monitoring, synthetic monitoring and waterfall data.
* Provide recommendations on what could be done to improve deployments, governance and environments.
* Make existing processes, infrastructure, applications reliable, scalable, secure, and automated where appropriate
* Provide regular reporting on each deployment indicating number of applications intended for deployment, number actually deployed, any incidents arising during or following the implementation.

 **What you’ll bring to the table…**  

* Keen attention to detail, strong analytical skills, problem-solving abilities, and solid knowledge base are essential.
* Responsible for multitasking and dealing with multiple urgent situations at a time, Devops Engineers must be extremely flexible.
* Experience with automated build CI/CD pipelines and deployment tools, configuration management (e.g. Teamcity, Octopus Deploy) to provide a secure deployment environment.
* Programming skills with at least one language, which may include a scripting language, such as .NET C#, Powershell
* Work with website hosting entity and third party service providers to coordinate deployments.
* Possess a complete understanding of applicable company systems, policies and procedures.
* Maintain an awareness of loss prevention, security and safety following the guidelines provided by management or the Human Resources Department and/or as outlined in the Crate and Barrel/CB2 Associate Guide.
* Communicate effectively and efficiently with all company associates and business contacts.
* Promote a strong sense of teamwork by working together safely, effectively, respectfully and efficiently with all associates.
* Prefer experience in CDN - (Akamai), APM - Application Performance Monitoring (New Relic), Log Aggregator (Sumo Logic), Lambda, NGINX, JIRA, BitBucket, Docker/containers, Linux
* Strong reading and written language skills (English), math skills, interpersonal skills, telephone presence, data entry skills, problem solving skills and analytical skills
* Ability to organize and prioritize workload to meet deadlines, multitask
* Strong system skills, relational databases and query languages

 **We’d love to hear from you if you have…**  

* 3+ years in a production software development/deployment environment
* 1+ years web development experience, with at least some DevOps experience
* Bachelor's degree in Computer Science or comparable work experience
* Experience in Cloud providers such as AWS desired

  

#li-remote **Minimum Starting Rate:** $80,000.00 Annually  

  

**Up to:** $100,000.00 Annually  

  

Pay ranges will be adjusted upward as needed to comply with applicable state and local law. In addition to your salary, based on your role, associates may be eligible for other compensation including bonuses, sales incentives, and long term incentives.",,https://www.glassdoor.co.in/Overview/W-EI_IE3866.htm,https://media.glassdoor.com/sql/3866/crate-and-barrel-squarelogo-1506521354302.png,,,,,
2,in-3b89b0c5caca46ff,indeed,"<a href=""https://in.indeed.com/viewjob?jk=3b89b0c5caca46ff"">https://in.indeed.com/viewjob?jk=3b89b0c5caca46ff</a>",http://in.indeed.com/job/full-stack-developer-3b89b0c5caca46ff,Full Stack Developer,AWF TECHNOLOGIES PRIVATE LIMITED,"TN, IN",2025-02-03,fulltime,,,,,,False,,,,,"We are looking for an ***experienced Fullstack Developer*** who is highly skilled in **Next.js** and **Node.js** to take charge of developing and maintaining high-performance web applications. As a key team member, you will work on complex projects, ensuring the highest standards of code quality, performance, and security.

**Responsibilities:**

* Lead the development and optimization of web applications using **Next.js** and **Node.js**.
* Implement new features and maintain existing applications with a focus on scalability and performance.
* Collaborate with cross-functional teams, including designers and back-end developers, to deliver robust solutions.
* Ensure the security and efficiency of all web applications.
* Provide technical leadership and mentoring to junior developers.
* Conduct code reviews and adhere to best practices in development.
* Troubleshoot and resolve issues across the full stack promptly.

**Requirements:**

* Extensive experience with **Next.js**, **Node.js**, **PHP**, **HTML**, **CSS**, and **JavaScript**.
* Proven ability to develop scalable, high-performance web applications.
* Strong experience with version control systems, such as Git.
* In-depth understanding of web development principles, including responsive design and mobile-first development.
* Excellent problem-solving and debugging skills.
* Strong communication and teamwork abilities.

**Preferred Skills:**

* Experience with databases (SQL or NoSQL).
* Familiarity with deploying applications on cloud platforms.
* Knowledge of API development and integration.

**Why Join Us:**

* Be part of an innovative and fast-paced environment.
* Work on challenging and impactful projects.
* Competitive salary and benefits package.
* Opportunities for growth and advancement.

Job Types: Full-time, Permanent, Fresher

Pay: ₹13,000.00 - ₹20,000.00 per month

Benefits:

* Cell phone reimbursement
* Health insurance
* Paid sick time

Schedule:

* Day shift

Supplemental Pay:

* Performance bonus

Education:

* Bachelor's (Preferred)

Experience:

* Angular: 1 year (Preferred)
* total work: 1 year (Preferred)
* Java: 1 year (Preferred)

Work Location: In person",,https://in.indeed.com/cmp/Awf-Technologies-Private-Limited,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/229c7f33febabf4429307f0811ac8332,,,,,
3,in-7a805ecb4316c6af,indeed,"<a href=""https://in.indeed.com/viewjob?jk=7a805ecb4316c6af"">https://in.indeed.com/viewjob?jk=7a805ecb4316c6af</a>",http://in.indeed.com/job/full-stack-developer-7a805ecb4316c6af,Full Stack Developer,Statfinity Pvt. Ltd.,"Remote, IN",2025-02-03,fulltime,,,,,,True,,,,,"Statfinity is seeking a skilled Full Stack Developer to design and build scalable web applications using cutting-edge technologies.

**Responsibilities**

* Develop responsive web interfaces with Next.js, React, TypeScript, HTML, and CSS.
* Build robust server-side applications using Node.js and MongoDB.
* Deploy and manage applications on AWS/GCP.
* Utilize Git for version control and collaborate effectively with cross-functional teams.
* Solve complex challenges independently with a solution-focused mindset.
* Uphold high software engineering practices by ensuring code quality, implementing comprehensive testing, and following CICD standards.

**Requirements**

* Proficiency in Next.js, React, TypeScript, HTML, CSS, Node.js, and MongoDB.
* Hands-on experience with AWS cloud services and Git.
* Excellent communication skills in English.
* Self-motivated, proactive, and detail-oriented problem-solver.

*Note: This role occasionally require attending calls with clients during US mornings.*

**Perks @ Statfinity:**

https://docs.google.com/document/d/1KvTRHKJSp6tF5xs3fye8ielwLlmqqJpx452AzIn45AM/edit?tab=t.0#heading=h.xfjp7gty2xye

Job Types: Full-time, Permanent

Pay: ₹50,000.00 - ₹75,000.00 per month

Benefits:

* Cell phone reimbursement
* Internet reimbursement
* Paid sick time
* Paid time off
* Work from home

Schedule:

* Monday to Friday

Supplemental Pay:

* Performance bonus
* Quarterly bonus
* Yearly bonus

Experience:

* Front-end development: 2 years (Preferred)
* Back-end development: 2 years (Preferred)

Work Location: Remote",,https://in.indeed.com/cmp/Statfinity-Pvt.-Ltd.,,,,,,
4,in-09f7b68f9b8c5d2a,indeed,"<a href=""https://in.indeed.com/viewjob?jk=09f7b68f9b8c5d2a"">https://in.indeed.com/viewjob?jk=09f7b68f9b8c5d2a</a>",http://in.indeed.com/job/automation-test-engineer-09f7b68f9b8c5d2a,Automation Test Engineer,Primesource Consulting LLP,"TN, IN",2025-02-03,fulltime,,,,,,False,,,,,"Key Responsibilities:Design, develop, and maintain automated test scripts for web and mobile applications using Selenium WebDriver, Appium, or similar tools.Create robust and scalable test automation frameworks for both web and mobile platforms.Ensure comprehensive coverage of key business scenarios and critical flowsfor functional, regression, and end-to-end testing across both web and mobile applications.Write and maintain automation scripts for mobile applications (Android )using Appium, Perfecto or other relevant tools.Implement and execute tests for mobile-specific functionality, including touch gestures, location services, push notifications, and other device-specific features.Support automated testing on real devices and emulators/simulators for Android.Conduct automated testing across multiple web browsers (Chrome, Firefox, Safari, Edge) to ensure web applications work consistently across differentenvironments.Perform testing on different mobile devices, screen resolutions, and mobileoperating systems to ensure consistent application behaviour acrossplatforms.Run automated test scripts on both web and mobile applications, analysing the results and identifying areas for improvement or issues.Refactor and maintain existing automation scripts to accommodate newfeatures and updates to the application.Troubleshoot and resolve issues in the automation framework, test scripts, or test execution environments.Collaborate with application teams, developers, and other QA team members to define test scenarios and requirements.Report bugs and track defect resolution in tools such as Azure DevOps.Generate detailed test execution reports and communicate results clearly to stakeholders, both technical and non-technical.Contribute to the continuous improvement of the test automation strategy, ensuring tests are efficient, maintainable, and scalable.Share knowledge and best practices for test automation across the team and provide guidance to junior automation engineers.Evaluate and integrate new tools and technologies to improve the testing process and stay up to date with industry trends.Document automated test strategies, test case specifications, troubleshooting steps, and test automation best practices.Maintain reusable components, libraries, and frameworks for efficient test automation.Provide L3 support for the issues arises out of production

Job Types: Full-time, Permanent

Pay: ₹50,000.00 - ₹100,000.00 per month

Schedule:

* Day shift

Experience:

* Automation Testing: 5 years (Preferred)

Work Location: In person

**Speak with the employer**  
+91 8438141250",,https://in.indeed.com/cmp/Primesource-Consulting-LLP,,,,,,
5,in-4aeda39c42e2e953,indeed,"<a href=""https://in.indeed.com/viewjob?jk=4aeda39c42e2e953"">https://in.indeed.com/viewjob?jk=4aeda39c42e2e953</a>",https://www.womennovator.co.in/career-2/,UI/Front End Developer,Womennnovator,"DL, IN",2025-02-02,full-time,,,,,,False,,,,,"**Designation** UI/Front End Developer  

  

**Experience** – 2-5 Year  

  

We are looking for someone who is an expert in UI design or front-end development to join our growing company  

  

**Who can apply** – Candidate having 2-5 years of UI/front-end development experience. In-depth skills in writing JS code for performance and modularity. Ability to write well-abstracted, reusable and efficient code, and to correctly employ design patterns.  

  

**Requirements**

* 2-5 years of experience into UI/Front End Development

* In-depth knowledge of Javascript
* Knowledge of ECMAScript 6

* Understanding of JS Frameworks like Angular.js or React.js is a plus

* Knowledge of CSS is a big plus

* Accuracy and attention to detail

* Self-development skills to keep up to date with fast-changing trends",,https://in.indeed.com/cmp/Womennnovator,,,,,,
6,in-840434d6e8ee1b0a,indeed,"<a href=""https://in.indeed.com/viewjob?jk=840434d6e8ee1b0a"">https://in.indeed.com/viewjob?jk=840434d6e8ee1b0a</a>",https://nextbridgesolutions.com/?page_id=25530#,Associate Software Engineer,NextBridge Solutions,"MH, IN",2025-02-02,"fulltime, internship",,,,,,False,,,,,"An Inspiring Work Culture | Flexible Working Hours | Work Like Never Before
  
### **Recent Graduates**

We offers technical and business internships to students for 2 to 6 months and also full-time opportunities designed to empower you. Imagine the impact you can have and jumpstart your career. As we have successfully completed 5 yrs of execution.
### **Experienced Professionals**

Want to make a difference? So do we. Step in to explore the wealth of career opportunities and take your career to the next level.
  

Associate Software Engineer

  

**Job Description:**

**Roles and Responsibilities and Skills required for the profile:**

* Knowledge of one database SQL, Oracle, PostgreSQL, Informix/Sybase.
* Experience on web development HTML, PHP, ASP.Net, HTML5
* CTI (Computer Telephony Integration) based application development.
* Min one Programming knowledge on .Net, Java, Linux scripting, XML/VXML/CCXML.
* Knowledge on windows and Linux OS is must
* Basic knowledge on networking.
* Excellent written and oral communication skills in English Language.
* Willing to Travel on site
* Selected candidates have to sign two years of bond.
* Conducting analysis of website and application requirements.
* Writing back-end code and building efficient PHP modules.
* Developing back-end portals with an optimized database.
* Knowledge of PHP web frameworks including Yii, Laravel, and CodeIgniter.
* Proficient with code versioning tools including Git, Mercurial, CVS, and SVN

**Requirements:**

* Must have knowledge in Angular JS, NodeJS, Java script. And, HTML5, Web Services.
* Education Qualification (Degree/Branch): BCA, B.tech, BE
* Able to work with minimal supervision
* Excellent listeningand presentation skills",,https://in.indeed.com/cmp/Nextbridge-Solutions,,,,,,
7,li-4140917446,linkedin,"<a href=""https://www.linkedin.com/jobs/view/4140917446"">https://www.linkedin.com/jobs/view/4140917446</a>",,Full Stack Developer,P.S. Global Group,,2025-02-01,fulltime,,,,,,,entry level,Engineering and Information Technology,,gsingh@psglobalgroup.com,"Job Description:

Title: Full Stack Developer

Location: Delhi, India (Remote)

Company Name: PS Global Group

Working Hours: Work from Home

Shift Timing: 7:00 pm - 3:30 am (IST)

We are looking for a dev with 2-3 years of experience working as a full stack javascript developer primarily with the following technologies:

Requirements:

Typescript

React

NodeJS Express

MySQL

AWS Cloud (Lambda, DynamoDB, RDS, S3)

Git

Bonus Marks:

Fullstack web development using a CRUD framework

Full-stack testing

Experience collaborating with frontend developers

Ability to work and communicate with people in a multicultural setting

The work will consist of development efforts as we are constantly adding features to our product suite. However, a large chunk of the work will be towards supporting existing client implementation ensuring a high SLA. We use AWS CloudWatch logs and dashboards for monitoring our services..

Please mail me your updated resume at gsingh@psglobalgroup.com

Also, confirm your current salary and your expected salary.",IT Services and IT Consulting,https://www.linkedin.com/company/p-s-global-group-inc,https://media.licdn.com/dms/image/v2/D4D0BAQHjdAAtKg7hng/company-logo_100_100/company-logo_100_100/0/1690312173132/p_s_global_group_inc_logo?e=2147483647&v=beta&t=KxIn0vRvQ1mDP_fBnHFkVlpql8sSM2puv_MVoYzInKA,,,,,
8,li-4141291467,linkedin,"<a href=""https://www.linkedin.com/jobs/view/4141291467"">https://www.linkedin.com/jobs/view/4141291467</a>",,JavaScript Developer,WonderPlay Studios,,2025-02-03 01:13:53.671751,fulltime,,,,,,,entry level,Engineering and Information Technology,,,"**Overview**
The JavaScript Developer Intern position is a vital role within our development team, providing an excellent opportunity for aspiring developers to gain hands-on experience in a dynamic environment. This internship will immerse candidates in real-world software development projects, allowing them to apply their academic knowledge and grow their technical skills in JavaScript and other web technologies. Interns will work closely with experienced developers, contributing to the creation of interactive and user-friendly web applications. This role is essential to supporting our ongoing projects and introducing fresh perspectives, enabling our team to innovate and fine-tune our digital solutions. Furthermore, this internship serves as an important stepping stone for building a foundation for a future career in web development or related fields, equipping interns with the tools and experiences they need to succeed in today's competitive job market.
  

  

**Key Responsibilities**

* Assist in the development and maintenance of web applications using JavaScript.
* Collaborate with team members to design and implement new features.
* Write clear, well-structured, and reusable code following best practices.
* Participate in code reviews and provide constructive feedback.
* Debug and troubleshoot issues in existing applications.
* Test applications for performance, responsiveness, and usability.
* Integrate APIs to enhance functionality.
* Learn and apply new frameworks or libraries as required.
* Help to optimize applications for maximum speed and scalability.
* Document development processes and code changes.
* Attend team meetings to discuss project updates and goals.
* Provide support to other team members as needed.
* Conduct research on emerging trends in web development technologies.
* Assist in creating user interface components using HTML and CSS.
* Participate in problem-solving sessions to enhance functionality.

**Required Qualifications**

* Pursuing a degree in Computer Science, Information Technology, or related field.
* Basic understanding of JavaScript, HTML, and CSS.
* Familiarity with version control using Git.
* Exposure to web development frameworks (e.g., React, Angular) is a plus.
* Strong analytical and problem-solving skills.
* Ability to work collaboratively in a team environment.
* Strong verbal and written communication skills.
* Eagerness to learn new technologies and methodologies.
* Time management skills with the ability to prioritize tasks.
* Experience with online coding challenges or programming projects is a plus.
* Knowledge of browser developer tools for debugging.
* Familiarity with responsive design techniques.
* Willingness to take initiative and suggest improvements.
* Understanding of RESTful APIs and AJAX.
* Previous internship experience or personal projects related to web development is advantageous.
* Positive attitude and enthusiasm for technology.

Skills: web,nextjs,css,react,responsive design,ajax,version control (git),web development,angular,restful apis,team collaboration,html,javascript,version control,projects","Technology, Information and Internet",https://www.linkedin.com/company/wonderplay-studios,https://media.licdn.com/dms/image/v2/D560BAQHzGhA6OwvAmw/company-logo_100_100/company-logo_100_100/0/1738492003581?e=2147483647&v=beta&t=hbSRQQBqe4W1_xW0Zm1L23yaFQPGiry31XqCIUNSUDM,,,,,
9,li-4140965209,linkedin,"<a href=""https://www.linkedin.com/jobs/view/4140965209"">https://www.linkedin.com/jobs/view/4140965209</a>",,Front-End Developer-Remote,Whitefield Careers,,2025-02-03 01:13:53.671751,fulltime,,,,,,,mid-senior level,Engineering and Information Technology,,,"**Job Title:**
**Front-End Developer**
**Experience:**
6-8 years
  

  

**Job Type: Remote**
. (Preferred location Chennai / Bangalore / Hyderabad)
  

  

**Job Summary**
We are looking for an experienced
**Front-End Developer with 6-8 years of experience**
in building interactive and responsive web applications. The ideal candidate should have strong expertise in modern front-end technologies, UI frameworks, and RESTful API integrations. The candidate must be proficient in JavaScript libraries, front-end frameworks, and asynchronous request handling.
  

  

**Key Responsibilities**

* Design, develop, and maintain scalable front-end applications.
* Implement JavaScript libraries and frameworks to enhance application functionality.
* Work with Angular 7 or 11 to build robust front-end solutions.
* Develop and maintain HTML 5.0, CSS 3.0, and Bootstrap-based responsive designs.
* Utilize jQuery for DOM manipulation and UI enhancements.
* Implement asynchronous request handling, partial page updates, and AJAX to improve application performance.
* Develop RESTful services and integrate with back-end APIs.
* Optimize UI performance and improve front-end security best practices.
* Utilize Entity Framework for front-end integration with back-end services.
* Collaborate with UI/UX designers to implement visually appealing and intuitive user interfaces.
* Troubleshoot and debug front-end issues to improve overall application performance.
* Stay updated with the latest front-end technologies and trends.

**Required Skills & Experience**

* 6-8 years of experience in front-end development.
* Proficiency in JavaScript, HTML 5, CSS 3, Bootstrap, and jQuery.
* Experience working with Angular 7 or 11 for web application development.
* Strong knowledge of asynchronous programming, AJAX, and RESTful API integration.
* Familiarity with Entity Framework and working with back-end services.
* Experience with version control systems such as Git.
* Strong debugging and problem-solving skills.
* Excellent communication and teamwork skills.

**Preferred Qualifications**

* Experience with modern front-end build tools and workflow automation.
* Knowledge of TypeScript and state management libraries (e.g., Redux, NgRx).
* Exposure to cloud-based applications and deployment practices.

If you are a passionate Front-End Developer looking for an opportunity to work on exciting projects, we encourage you to apply.
  

  

Skills: javascript libraries and framework,css,jquery,git,ui development,html,angular 7,entity framework,restful webservices,redux,javascript,restful api integration,ngrx,angular 11,angular 7 or 11,css 3,typescript,bootstrap,ajax,html 5",Human Resources,https://in.linkedin.com/company/whitefield-careers,https://media.licdn.com/dms/image/v2/D560BAQG108WOS9UBtQ/company-logo_100_100/company-logo_100_100/0/1684171597846?e=2147483647&v=beta&t=os7Gupae_BVIHsa56ONRHhMtov75snBv6Fg0G5O9mhc,,,,,
